Name,"On Hand",Available,Reserved,SKU,Bin,Warehouse,Backorder,"Sell Ahead","On Order","Pending Return"
"Playful | Synthetic Hair Wrap 39",5,5,0,JR672A_50,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Fun Bun | Synthetic Hair Wrap 10",5,5,0,JR676A_01,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Pinking Shears ",5,5,0,JRPS_01,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"The Casual Softie MOCHA",5,5,0,JRTCS_03,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"The Elegant Softie Print RAIN-CHIRPS",5,5,0,JRTESP_16,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Icon | Synthetic Wig (Basic Cap) HOT-PINK",4,4,0,JR113_04,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Chic Doll | Synthetic Wig (Basic Cap) PINK",4,4,0,JR114_06,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,1,0
"Crush | Synthetic Ponytail (Clip In) 10",4,4,0,JR235_01,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Foxy | Synthetic Ponytail (Clip In) 4/33",4,4,0,JR248_27,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Mimic | Synthetic Hair Wrap 24B/27C",4,4,0,JR292_14,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"14"" easiVolume (1 Piece) | Human Hair Volumizer | Clip In 31T26",4,4,0,JR329_12,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"18"" easiVolume Remy Human Hair Extension (1 Piece) | Clip In 4/33",4,4,0,JR330_15,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiFringe (HD) | HF Synthetic Clip in Bangs (Mono Base) 12FS8",4,4,0,JR357_03,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiFringe (HD) | HF Synthetic Clip in Bangs (Mono Base) 24B/27CS10",4,4,0,JR357_08,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiFringe (HD) | HF Synthetic Clip in Bangs (Mono Base) 6/33",4,4,0,JR357_18,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiFringe (HD) | HF Synthetic Clip in Bangs (Mono Base) 8/30",4,4,0,JR357_21,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiPart HD XL 18"" | HF Synthetic Hair Topper (Mono Top) 6",4,3,0,JR358_19,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,1,0
"easiPart HD XL 18"" | HF Synthetic Hair Topper (Mono Top) FS24/102S12",4,4,0,JR358_26,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiPart HD 18"" | HF Synthetic Hair Topper (Mono Top) 12FS8",4,4,0,JR360_04,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,3,0
"easiPart HD 18"" | HF Synthetic Hair Topper (Mono Top) 33",4,4,0,JR360_16,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Hat Magic LF | Synthetic Hair Addition (Hat not included) 14/24",4,2,0,JR384A_05,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,2,0
"Hat Magic LF | Synthetic Hair Addition (Hat not included) 2",4,4,0,JR384A_08,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Hat Magic LF | Synthetic Hair Addition (Hat not included) 6",4,3,0,JR384A_16,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Sheena | Synthetic Wig (Basic Cap) | DISCONTINUED 101F48T",4,4,0,JR5129_01,,"Beauty & Hair / Primary",0,0,4,0
"Ignite | Synthetic Lace Front Wig (Basic Cap) 10/26TT",4,4,0,JR5142_01,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Ignite | Synthetic Lace Front Wig (Basic Cap) 12FS12",4,4,0,JR5142_04,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,2,0
"Zara Large | Synthetic Lace Front Wig (Mono Top) FS26/31",4,4,0,JR5151_29,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Allure | Synthetic Wig (Basic Cap) 8",4,4,0,JR5350_50,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Allure Large | Synthetic Wig (Basic Cap) 4",4,4,0,JR5366_24,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
